name,type,value,date,color
Alexander Areshchenko,UKR,2701,2014-06-27,#005BBB
Alexander Areshchenko,UKR,2701,2014-07-27,#005BBB
Alexander Areshchenko,UKR,2684,2014-08-27,#005BBB
Alexander Areshchenko,UKR,2664,2014-09-27,#005BBB
Alexander Areshchenko,UKR,2654,2014-10-27,#005BBB
Alexander Areshchenko,UKR,2655,2014-11-27,#005BBB
Alexander Areshchenko,UKR,2661,2014-12-27,#005BBB
Alexander Areshchenko,UKR,2661,2015-01-27,#005BBB
Alexander Areshchenko,UKR,2661,2015-02-27,#005BBB
Alexander Areshchenko,UKR,2664,2015-03-27,#005BBB
Alexander Areshchenko,UKR,2656,2015-05-27,#005BBB
Alexander Areshchenko,UKR,2656,2015-06-27,#005BBB
Alexander Areshchenko,UKR,2651,2015-07-27,#005BBB
Alexander Areshchenko,UKR,2661,2015-08-27,#005BBB
Alexander Areshchenko,UKR,2661,2015-09-27,#005BBB
Alexander Areshchenko,UKR,2672,2015-10-27,#005BBB
Alexander Areshchenko,UKR,2682,2015-11-27,#005BBB
Alexander Areshchenko,UKR,2677,2015-12-27,#005BBB
Alexander Areshchenko,UKR,2671,2016-01-27,#005BBB
Alexander Areshchenko,UKR,2675,2016-02-27,#005BBB
Alexander Areshchenko,UKR,2674,2016-03-27,#005BBB
Alexander Areshchenko,UKR,2674,2016-04-27,#005BBB
Alexander Areshchenko,UKR,2667,2016-05-27,#005BBB
Alexander Areshchenko,UKR,2654,2016-06-27,#005BBB
Alexander Areshchenko,UKR,2654,2016-07-27,#005BBB
Alexander Areshchenko,UKR,2665,2016-08-27,#005BBB
Alexander Areshchenko,UKR,2665,2016-09-27,#005BBB
Alexander Areshchenko,UKR,2675,2016-10-27,#005BBB
Alexander Areshchenko,UKR,2673,2016-11-27,#005BBB
Alexander Areshchenko,UKR,2678,2016-12-27,#005BBB
Alexander Areshchenko,UKR,2679,2017-01-27,#005BBB
Alexander Areshchenko,UKR,2683,2017-02-27,#005BBB
Alexander Areshchenko,UKR,2682,2017-03-27,#005BBB
Alexander Areshchenko,UKR,2686,2017-04-27,#005BBB
Alexander Areshchenko,UKR,2677,2017-05-27,#005BBB
Alexander Baburin,IRL,2598,2001-01-27,#FFFFFFF
Alexander Chernin,HUN,2601,2001-07-27,#259838
Alexander Fominyh,RUS,2594,2000-07-27,#D52B1E
Alexander G Beliavsky,SLO,2654,2000-07-27,#0B4EA2
Alexander G Beliavsky,SLO,2629,2000-10-27,#0B4EA2
